signal_type,ticker,n,stocks,stop_rate_pct,hit2_before_stop_pct,hit3_before_stop_pct,hit5_before_stop_pct,avg_mfe_before_stop_pct,avg_mae_before_stop_pct,avg_ret_5d_pct,avg_ret_10d_pct,avg_ret_15d_pct,avg_ret_20d_pct,median_swing_distance_pct
STOCH_ONLY_CONTROL,SVU,3,1,66.66666666666666,33.33333333333333,33.33333333333333,33.33333333333333,2.402846874462757,-8.572305777730438,-5.694623463733602,-4.886217352108894,-7.640341919558414,-6.331535802778646,5.615771284951321
STOCH_ONLY_CONTROL,SWK,6,1,33.33333333333333,66.66666666666666,66.66666666666666,50.0,4.446548786493983,-2.893087947639763,0.4207558725923914,3.005719600469988,4.974523152816779,4.404649779353568,3.0105199530712
STOCH_ONLY_CONTROL,TGT,7,1,57.14285714285714,71.42857142857143,71.42857142857143,57.14285714285714,7.217303906547067,-3.1973572653114877,2.0810049597034554,1.096881725503093,1.782334879300097,2.7470518588722626,4.061747027828533
STOCH_ONLY_CONTROL,USB,3,1,33.33333333333333,100.0,100.0,66.66666666666666,10.246964070704209,-3.0911069163791383,1.4217043560104041,2.9698300745414983,5.416485434179549,3.07429992092804,3.862922031836158
STOCH_ONLY_CONTROL,VFC,6,1,33.33333333333333,83.33333333333334,83.33333333333334,50.0,5.873376149887462,-4.029096221010814,0.1668318768774398,1.8717538415475332,0.6835430148761811,1.898513027529047,4.151868499912248
STOCH_ONLY_CONTROL,WMT,4,1,25.0,100.0,100.0,25.0,5.246316014559493,-2.137217145517029,2.1233926039518067,0.8203910488969097,1.24490512424372,0.8442284689174878,2.0987208233024246
V0.1,ABT,1,1,0.0,100.0,100.0,100.0,11.192084942084946,-1.6505791505791456,7.326254826254841,1.3175675675675569,1.9015444015444194,0.419884169884166,3.228377839776808
V0.1,ADM,2,1,0.0,100.0,50.0,50.0,11.136041461718104,-3.745424578796036,0.8315893866252422,0.7294002600457872,5.187791624098159,8.203231500707508,5.289102645969457
V0.1,ADP,4,1,75.0,50.0,50.0,0.0,2.7427891251666168,-3.1094061703525444,0.28559180369991666,-0.7570554300590171,0.03915005848786346,-1.7565846311630773,1.8615269482512353
V0.1,AVY,2,1,0.0,100.0,100.0,100.0,8.675017884473057,-1.4839072600405734,1.6783402413181936,3.4127153678969346,4.343201361519167,4.843910303308629,3.274638188846102
