ticker,signal_type,signal_date,entry_date,entry_open,regime,swing_start,swing_low,swing_distance_pct,stop_hit_20d,days_to_stop,mfe_20d_pct,mae_20d_pct,mfe_before_stop_pct,mae_before_stop_pct,ret_5d_pct,ret_10d_pct,ret_15d_pct,ret_20d_pct,hit_2pct_before_stop,days_to_2pct,hit_3pct_before_stop,days_to_3pct,hit_5pct_before_stop,days_to_5pct
JNJ,V0.1,2009-08-20,2009-08-21,49.719,GREEN,2009-08-17,48.426,2.670053277165163,False,,0.6536736458898851,-2.9626500935256095,0.6536736458898851,-2.9626500935256095,-1.3073472917798035,-1.2570647036344251,-1.2248838472213919,-0.6898771093545752,False,,False,,False,
MTB,STOCH_ONLY_CONTROL,2009-08-20,2009-08-21,50.199,GREEN,2009-08-19,48.028,4.520279836761887,True,8.0,12.607820872925757,-5.155481184884159,4.589732863204454,-5.155481184884159,2.8845196119444694,-2.4183748680252526,-0.9880674913842813,9.283053447279844,True,0.0,True,3.0,False,
ADM,STOCH_ONLY_CONTROL,2009-08-21,2009-08-24,24.498,GREEN,2009-08-11,22.992,6.550104384133615,False,,2.424687729610575,-4.473834598742754,2.424687729610575,-4.473834598742754,0.10204914686913202,-0.21634419136256078,1.236835660053881,0.3347212017307477,True,0.0,False,,False,
ADM,V0.1,2009-08-21,2009-08-24,24.498,GREEN,2009-08-11,22.992,6.550104384133615,False,,2.424687729610575,-4.473834598742754,2.424687729610575,-4.473834598742754,0.10204914686913202,-0.21634419136256078,1.236835660053881,0.3347212017307477,True,0.0,False,,False,
LOW,STOCH_ONLY_CONTROL,2009-08-21,2009-08-24,18.733,GREEN,2009-08-19,17.413,7.580543272267848,False,,5.679816366839274,-2.9199807825762036,5.679816366839274,-2.9199807825762036,1.5640847701916316,2.839908183419637,0.20285058452997884,-0.4697592483852042,True,2.0,True,2.0,True,19.0
PEP,STOCH_ONLY_CONTROL,2009-08-21,2009-08-24,47.387,GREEN,2009-08-17,45.886,3.271150241903853,False,,4.007428197606933,-3.460864794141849,4.007428197606933,-3.460864794141849,-1.7641969316479211,1.023487454365113,1.0424800050646832,1.5426171734864047,True,13.0,True,18.0,False,
PEP,V0.1,2009-08-21,2009-08-24,47.387,GREEN,2009-08-17,45.886,3.271150241903853,False,,4.007428197606933,-3.460864794141849,4.007428197606933,-3.460864794141849,-1.7641969316479211,1.023487454365113,1.0424800050646832,1.5426171734864047,True,13.0,True,18.0,False,
PPG,STOCH_ONLY_CONTROL,2009-08-21,2009-08-24,24.454,GREEN,2009-08-20,23.462,4.228113545307299,False,,10.145579455303832,-3.3164308497587336,10.145579455303832,-3.3164308497587336,0.9446307352580341,0.9282734930890602,8.256317984787763,9.55262942667865,True,4.0,True,11.0,True,13.0
SLM,STOCH_ONLY_CONTROL,2009-08-21,2009-08-24,2.8841,GREEN,2009-08-18,2.6776,7.712130265909778,False,,11.362296730349165,-7.728580839776711,11.362296730349165,-7.728580839776711,1.1372698588814512,-1.1372698588814512,-1.4770639020838416,0.45421448632156913,True,0.0,True,0.0,True,0.0
SLM,V0.1,2009-08-21,2009-08-24,2.8841,GREEN,2009-08-18,2.6776,7.712130265909778,False,,11.362296730349165,-7.728580839776711,11.362296730349165,-7.728580839776711,1.1372698588814512,-1.1372698588814512,-1.4770639020838416,0.45421448632156913,True,0.0,True,0.0,True,0.0
CMA,STOCH_ONLY_CONTROL,2009-08-28,2009-08-31,23.489,GREEN,2009-08-27,23.427,0.26465189738336115,True,1.0,21.401507088424367,-6.432798331133716,3.129124270935324,-2.626761462812388,-0.19157903699604795,10.11537315339095,13.546766571586687,13.738345608582737,True,0.0,True,0.0,False,
BAC,STOCH_ONLY_CONTROL,2009-09-04,2009-09-08,16.46,GREEN,2009-09-03,15.566,5.743286650391877,True,17.0,3.5601458080194215,-10.540704738760642,3.5601458080194215,-7.314702308626975,-3.8396111786148324,0.8748481166463984,-1.7132442284325644,-2.6306196840826246,True,10.0,True,10.0,False,
FHN,STOCH_ONLY_CONTROL,2009-09-04,2009-09-08,11.723,GREEN,2009-09-03,11.206,4.613599857219364,False,,14.603770365947288,-3.9665614603770494,14.603770365947288,-3.9665614603770494,5.8688049134180575,7.276294463874433,3.241491085899506,-0.7847820523756766,True,1.0,True,1.0,True,5.0
