ticker,data_source,signal_type,signal_date,entry_date,entry_open,regime,swing_start,swing_low,swing_distance_pct,stop_hit_20d,days_to_stop,mfe_20d_pct,mae_20d_pct,mfe_before_stop_pct,mae_before_stop_pct,ret_5d_pct,ret_10d_pct,ret_15d_pct,ret_20d_pct,hit_2pct_before_stop,days_to_2pct,hit_3pct_before_stop,days_to_3pct,hit_5pct_before_stop,days_to_5pct,window
APD,yfinance,V0.1,2017-03-17,2017-03-20,110.5417242361791,GREEN,2017-03-07,107.68089340606487,2.6567673610637943,True,4.0,0.15054229465094604,-4.201036654775425,0.15054229465094604,-3.455428356666612,-2.5593471025567194,-2.578085552943188,-1.9933630790051948,-2.3470815255269395,False,,False,,False,,BULL_2017
MHFI,yfinance,STOCH_ONLY_CONTROL,2017-03-23,2017-03-24,112.73809599952729,GREEN,2017-03-21,110.82257971429227,1.728453073528291,False,,3.931120003834221,-1.4519358580916242,3.931120003834221,-1.4519358580916242,0.9731349550317514,0.4402390718461824,0.9885983761134476,3.413668843416584,True,18.0,True,20.0,False,,BULL_2017
BEN,yfinance,STOCH_ONLY_CONTROL,2017-03-24,2017-03-27,24.912607175359813,GREEN,2017-03-21,24.96178812264601,-0.19702493685369582,False,,5.4388788822457235,-0.3455068807177497,5.4388788822457235,-0.3455068807177497,3.529443093125062,4.248570726462475,3.25668479884349,4.248570726462475,True,1.0,True,1.0,True,3.0,BULL_2017
ABT,yfinance,STOCH_ONLY_CONTROL,2017-03-28,2017-03-29,37.480499267578125,GREEN,2017-03-23,37.13649461393778,0.92632505360708,True,4.0,0.3805730705419341,-4.703832596620217,0.3805730705419341,-1.4774875351497019,-1.9476172097957822,-2.068641652030967,-0.9424558343735012,-1.685741934485785,False,,False,,False,,BULL_2017
ABT,yfinance,V0.1,2017-03-28,2017-03-29,37.480499267578125,GREEN,2017-03-23,37.13649461393778,0.92632505360708,True,4.0,0.3805730705419341,-4.703832596620217,0.3805730705419341,-1.4774875351497019,-1.9476172097957822,-2.068641652030967,-0.9424558343735012,-1.685741934485785,False,,False,,False,,BULL_2017
CAH,yfinance,STOCH_ONLY_CONTROL,2017-03-28,2017-03-29,62.998963503418054,GREEN,2017-03-23,61.918852948715745,1.7443969054092623,True,13.0,1.2349426609991054,-12.837706587573495,1.2349426609991054,-12.030774305283387,-1.540486619235848,-0.09776859760834977,-10.367968481083123,-10.575842626697918,False,,False,,False,,BULL_2017
CAH,yfinance,V0.1,2017-03-28,2017-03-29,62.998963503418054,GREEN,2017-03-23,61.918852948715745,1.7443969054092623,True,13.0,1.2349426609991054,-12.837706587573495,1.2349426609991054,-12.030774305283387,-1.540486619235848,-0.09776859760834977,-10.367968481083123,-10.575842626697918,False,,False,,False,,BULL_2017
GD,yfinance,STOCH_ONLY_CONTROL,2017-03-28,2017-03-29,152.78679988683746,GREEN,2017-03-27,149.30848831872706,2.3296140810730614,False,,5.2422114756659255,-0.9255664896917759,5.2422114756659255,-0.9255664896917759,-0.6992856048862128,-0.4374768913260718,0.5189463423765472,4.205630485119749,True,17.0,True,18.0,True,19.0,BULL_2017
WBA,legacy_fallback,STOCH_ONLY_CONTROL,2017-03-28,2017-03-29,82.345,GREEN,2017-03-22,81.311,1.2716606609191716,True,4.0,3.2886028295585623,-3.9480235594146595,0.3218167466148447,-1.4475681583581146,-2.907280344890406,-1.2326188596757603,0.6460622988645248,2.7384783532697687,False,,False,,False,,BULL_2017
WBA,legacy_fallback,V0.1,2017-03-28,2017-03-29,82.345,GREEN,2017-03-22,81.311,1.2716606609191716,True,4.0,3.2886028295585623,-3.9480235594146595,0.3218167466148447,-1.4475681583581146,-2.907280344890406,-1.2326188596757603,0.6460622988645248,2.7384783532697687,False,,False,,False,,BULL_2017
CVX,yfinance,STOCH_ONLY_CONTROL,2017-03-29,2017-03-30,72.96124676627255,GREEN,2017-03-14,71.38934732725774,2.2018683429182007,True,12.0,2.330086977933399,-3.9944438894428336,2.330086977933399,-2.6167417276002025,1.0540897521872816,-1.8955473159326997,-3.014296923822768,-1.340721209780249,True,4.0,False,,False,,BULL_2017
CVX,yfinance,V0.1,2017-03-29,2017-03-30,72.96124676627255,GREEN,2017-03-14,71.38934732725774,2.2018683429182007,True,12.0,2.330086977933399,-3.9944438894428336,2.330086977933399,-2.6167417276002025,1.0540897521872816,-1.8955473159326997,-3.014296923822768,-1.340721209780249,True,4.0,False,,False,,BULL_2017
TROW,yfinance,STOCH_ONLY_CONTROL,2017-03-29,2017-03-30,47.927178533044675,GREEN,2017-03-21,47.03858597432509,1.8890715788195678,False,,7.5485237145733075,-0.529731345884954,7.5485237145733075,-0.529731345884954,2.01588103365562,3.384334009510881,5.63567117017254,4.311344892962921,True,4.0,True,6.0,True,11.0,BULL_2017
TROW,yfinance,V0.1,2017-03-29,2017-03-30,47.927178533044675,GREEN,2017-03-21,47.03858597432509,1.8890715788195678,False,,7.5485237145733075,-0.529731345884954,7.5485237145733075,-0.529731345884954,2.01588103365562,3.384334009510881,5.63567117017254,4.311344892962921,True,4.0,True,6.0,True,11.0,BULL_2017
T,yfinance,STOCH_ONLY_CONTROL,2017-03-30,2017-03-31,16.213277638568954,GREEN,2017-03-24,16.007648939145934,1.28456527379337,True,4.0,0.23929295605871204,-5.048701045539749,0.23929295605871204,-1.3051098231818603,-1.3294144848501221,-2.034361432322662,-2.715015482241978,-4.951467863863712,False,,False,,False,,BULL_2017
MKC,yfinance,STOCH_ONLY_CONTROL,2017-04-05,2017-04-06,41.89491446333795,GREEN,2017-03-30,40.28051348792341,4.007895718356602,False,,1.5021795150792494,-1.6115868454412152,1.5021795150792494,-1.6115868454412152,-1.3231363626633907,-0.11939409543856305,-0.6167944844801765,-0.35815575178889114,False,,False,,False,,BULL_2017
MKC,yfinance,V0.1,2017-04-05,2017-04-06,41.89491446333795,GREEN,2017-03-30,40.28051348792341,4.007895718356602,False,,1.5021795150792494,-1.6115868454412152,1.5021795150792494,-1.6115868454412152,-1.3231363626633907,-0.11939409543856305,-0.6167944844801765,-0.35815575178889114,False,,False,,False,,BULL_2017
SYY,yfinance,STOCH_ONLY_CONTROL,2017-04-06,2017-04-07,40.678163464435876,GREEN,2017-04-04,40.214632645734824,1.1526421807317222,False,,8.59463499627724,-0.2129318828425708,8.59463499627724,-0.2129318828425708,0.8904223934369737,2.3228552475876185,2.3034808120685035,6.271760947517313,True,10.0,True,12.0,True,18.0,BULL_2017
SYY,yfinance,V0.1,2017-04-06,2017-04-07,40.678163464435876,GREEN,2017-04-04,40.214632645734824,1.1526421807317222,False,,8.59463499627724,-0.2129318828425708,8.59463499627724,-0.2129318828425708,0.8904223934369737,2.3228552475876185,2.3034808120685035,6.271760947517313,True,10.0,True,12.0,True,18.0,BULL_2017
ABBV,yfinance,STOCH_ONLY_CONTROL,2017-04-07,2017-04-10,44.29306292295169,GREEN,2017-04-03,43.71828831078006,1.3147235044650651,True,5.0,4.078695773401897,-2.6748213938461385,0.42747905236164563,-2.6748213938461385,-1.8576065967123578,0.3781388812867492,2.737248425861827,2.027956717470425,False,,False,,False,,BULL_2017
ABBV,yfinance,V0.1,2017-04-07,2017-04-10,44.29306292295169,GREEN,2017-04-03,43.71828831078006,1.3147235044650651,True,5.0,4.078695773401897,-2.6748213938461385,0.42747905236164563,-2.6748213938461385,-1.8576065967123578,0.3781388812867492,2.737248425861827,2.027956717470425,False,,False,,False,,BULL_2017
ADP,yfinance,STOCH_ONLY_CONTROL,2017-04-07,2017-04-10,83.5334010060419,GREEN,2017-03-30,82.47044186087062,1.2888971141497008,True,16.0,3.445592793548391,-6.5191975267659625,3.445592793548391,-6.5191975267659625,-0.22514553353374378,2.789744577788178,1.8108782212901575,-4.972603979155654,True,10.0,True,12.0,False,,BULL_2017
ADP,yfinance,V0.1,2017-04-07,2017-04-10,83.5334010060419,GREEN,2017-03-30,82.47044186087062,1.2888971141497008,True,16.0,3.445592793548391,-6.5191975267659625,3.445592793548391,-6.5191975267659625,-0.22514553353374378,2.789744577788178,1.8108782212901575,-4.972603979155654,True,10.0,True,12.0,False,,BULL_2017
CLX,yfinance,STOCH_ONLY_CONTROL,2017-04-11,2017-04-12,100.32379581087372,GREEN,2017-03-29,99.40901900907751,0.9202150981015844,True,13.0,2.631300016618865,-4.045363721921413,2.631300016618865,-2.3987714232469592,1.9921946473878016,0.7516056046718678,-0.4814623199180801,-0.2859664820367258,True,3.0,False,,False,,BULL_2017
CLX,yfinance,V0.1,2017-04-11,2017-04-12,100.32379581087372,GREEN,2017-03-29,99.40901900907751,0.9202150981015844,True,13.0,2.631300016618865,-4.045363721921413,2.631300016618865,-2.3987714232469592,1.9921946473878016,0.7516056046718678,-0.4814623199180801,-0.2859664820367258,True,3.0,False,,False,,BULL_2017
KMB,yfinance,STOCH_ONLY_CONTROL,2017-04-11,2017-04-12,95.49590089357648,GREEN,2017-03-31,94.20153868087297,1.3740351068876056,True,6.0,1.0843476197175406,-5.459319105136151,1.0843476197175406,-2.552691955503994,-1.1822212078492211,-2.1084215254817518,-3.471401458275769,-3.531640310653039,False,,False,,False,,BULL_2017
KMB,yfinance,V0.1,2017-04-11,2017-04-12,95.49590089357648,GREEN,2017-03-31,94.20153868087297,1.3740351068876056,True,6.0,1.0843476197175406,-5.459319105136151,1.0843476197175406,-2.552691955503994,-1.1822212078492211,-2.1084215254817518,-3.471401458275769,-3.531640310653039,False,,False,,False,,BULL_2017
MMM,yfinance,STOCH_ONLY_CONTROL,2017-04-11,2017-04-12,117.11808304598485,GREEN,2017-04-10,116.30572798231194,0.698465224168876,True,1.0,5.039195631761206,-0.8880288724957497,0.09457986326339984,-0.8880288724957497,0.44666835708766506,3.047636144517374,4.834189215201445,3.383948643168999,False,,False,,False,,BULL_2017
MMM,yfinance,V0.1,2017-04-11,2017-04-12,117.11808304598485,GREEN,2017-04-10,116.30572798231194,0.698465224168876,True,1.0,5.039195631761206,-0.8880288724957497,0.09457986326339984,-0.8880288724957497,0.44666835708766506,3.047636144517374,4.834189215201445,3.383948643168999,False,,False,,False,,BULL_2017
PG,yfinance,STOCH_ONLY_CONTROL,2017-04-11,2017-04-12,69.38538671063554,GREEN,2017-03-31,68.65053770224524,1.0704198874268434,True,9.0,1.6082381577653182,-3.5254798037203328,1.6082381577653182,-1.5821073574290856,0.35009795104197217,-1.4922061068035841,-2.885182730004743,-3.199703137712473,False,,False,,False,,BULL_2017
PG,yfinance,V0.1,2017-04-11,2017-04-12,69.38538671063554,GREEN,2017-03-31,68.65053770224524,1.0704198874268434,True,9.0,1.6082381577653182,-3.5254798037203328,1.6082381577653182,-1.5821073574290856,0.35009795104197217,-1.4922061068035841,-2.885182730004743,-3.199703137712473,False,,False,,False,,BULL_2017
BF-B,yfinance,STOCH_ONLY_CONTROL,2017-04-12,2017-04-13,30.724875191321523,GREEN,2017-03-31,30.423453053787647,0.9907558389278481,False,,8.175231720219056,-0.8720288376815932,8.175231720219056,-0.8720288376815932,0.8502162007596681,3.161081661215648,6.845392703761921,7.259616501517163,True,6.0,True,7.0,True,14.0,BULL_2017
BF-B,yfinance,V0.1,2017-04-12,2017-04-13,30.724875191321523,GREEN,2017-03-31,30.423453053787647,0.9907558389278481,False,,8.175231720219056,-0.8720288376815932,8.175231720219056,-0.8720288376815932,0.8502162007596681,3.161081661215648,6.845392703761921,7.259616501517163,True,6.0,True,7.0,True,14.0,BULL_2017
JNJ,yfinance,STOCH_ONLY_CONTROL,2017-04-12,2017-04-13,97.10949603143264,GREEN,2017-03-30,96.19371740302195,0.9520150100591929,True,2.0,0.543422519628245,-3.3405178639020483,0.543422519628245,-3.3405178639020483,-2.69321824548977,-1.3266138294774965,-1.2946693550112576,-1.1907594634001928,False,,False,,False,,BULL_2017
JNJ,yfinance,V0.1,2017-04-12,2017-04-13,97.10949603143264,GREEN,2017-03-30,96.19371740302195,0.9520150100591929,True,2.0,0.543422519628245,-3.3405178639020483,0.543422519628245,-3.3405178639020483,-2.69321824548977,-1.3266138294774965,-1.2946693550112576,-1.1907594634001928,False,,False,,False,,BULL_2017
