window,ticker,loaded,source,first,last,rows
BULL_2013_2014,WMT,True,legacy,1972-03-20,2017-11-10,11443.0
CHOP_2015_2016,ABBV,True,legacy,2013-01-04,2017-11-10,1224.0
CHOP_2015_2016,ABT,True,legacy,1983-04-06,2017-11-10,8726.0
CHOP_2015_2016,ADM,True,legacy,1983-04-06,2017-11-10,8726.0
CHOP_2015_2016,ADP,True,legacy,1983-04-06,2017-11-10,8724.0
CHOP_2015_2016,AFL,True,legacy,1984-07-19,2017-11-10,8398.0
CHOP_2015_2016,APD,True,legacy,1983-04-06,2017-11-10,8725.0
CHOP_2015_2016,BCR,True,legacy,1983-04-06,2017-11-10,8724.0
CHOP_2015_2016,BDX,True,legacy,1983-04-06,2017-11-10,8725.0
CHOP_2015_2016,BEN,True,legacy,1984-09-07,2017-11-10,8362.0
CHOP_2015_2016,BF-B,True,legacy,2010-08-23,2017-11-10,1819.0
CHOP_2015_2016,CAH,True,legacy,1988-01-04,2017-11-10,7519.0
CHOP_2015_2016,CB,True,legacy,1993-03-26,2017-11-10,6201.0
CHOP_2015_2016,CINF,True,legacy,1990-03-26,2017-11-10,6962.0
CHOP_2015_2016,CL,True,legacy,1977-01-03,2017-11-10,10305.0
CHOP_2015_2016,CLX,True,legacy,1983-03-21,2017-11-10,8736.0
CHOP_2015_2016,CTAS,True,legacy,1990-03-26,2017-11-10,6962.0
CHOP_2015_2016,CVX,True,legacy,1970-01-02,2017-11-10,12073.0
CHOP_2015_2016,DOV,True,legacy,1985-07-01,2017-11-10,8160.0
CHOP_2015_2016,ECL,True,legacy,1988-01-05,2017-11-10,7524.0
CHOP_2015_2016,ED,True,legacy,1970-01-02,2017-11-10,12075.0
CHOP_2015_2016,EMR,True,legacy,1982-01-04,2017-11-10,9044.0
CHOP_2015_2016,FDO,False,missing,,,
CHOP_2015_2016,GPC,True,legacy,1983-04-06,2017-11-10,8726.0
CHOP_2015_2016,GWW,True,legacy,1984-12-17,2017-11-10,8295.0
CHOP_2015_2016,HCP,True,legacy,2005-02-25,2017-11-10,3201.0
CHOP_2015_2016,HRL,True,legacy,2005-02-25,2017-11-10,3201.0
CHOP_2015_2016,ITW,True,legacy,1987-11-05,2017-11-10,7566.0
CHOP_2015_2016,JNJ,True,legacy,1970-01-02,2017-11-10,12074.0
CHOP_2015_2016,KMB,True,legacy,1984-12-17,2017-11-10,8295.0
CHOP_2015_2016,KO,True,legacy,1970-01-02,2017-11-10,12075.0
CHOP_2015_2016,LEG,True,legacy,1987-11-05,2017-11-10,7563.0
CHOP_2015_2016,LOW,True,legacy,1985-07-01,2017-11-10,8158.0
CHOP_2015_2016,MCD,True,legacy,1970-01-02,2017-11-10,12075.0
CHOP_2015_2016,MDT,True,legacy,1981-12-31,2017-11-10,9044.0
CHOP_2015_2016,MHFI,True,legacy,1985-07-01,2017-11-10,8160.0
CHOP_2015_2016,MKC,True,legacy,1999-05-25,2017-11-10,4646.0
CHOP_2015_2016,MMM,True,legacy,1970-01-02,2017-11-10,12075.0
CHOP_2015_2016,NUE,True,legacy,1983-09-01,2017-11-10,8622.0
CHOP_2015_2016,PEP,True,legacy,1977-01-03,2017-11-10,10307.0
CHOP_2015_2016,PG,True,legacy,1970-01-02,2017-11-10,12075.0
CHOP_2015_2016,PNR,True,legacy,2005-02-25,2017-11-10,3201.0
CHOP_2015_2016,PPG,True,legacy,1983-04-06,2017-11-10,8726.0
CHOP_2015_2016,SHW,True,legacy,1985-07-01,2017-11-10,8159.0
CHOP_2015_2016,SIAL,False,missing,,,
CHOP_2015_2016,SWK,True,legacy,1985-07-01,2017-11-10,8160.0
CHOP_2015_2016,SYY,True,legacy,1987-07-23,2017-11-10,7638.0
CHOP_2015_2016,T,True,legacy,1984-07-19,2017-11-10,8401.0
CHOP_2015_2016,TGT,True,legacy,1983-04-06,2017-11-10,8726.0
CHOP_2015_2016,TROW,True,legacy,1989-09-13,2017-11-10,7091.0
CHOP_2015_2016,VFC,True,legacy,1985-07-01,2017-11-10,8157.0
CHOP_2015_2016,WBA,True,legacy,1985-07-01,2017-11-10,8157.0
CHOP_2015_2016,WMT,True,legacy,1972-03-20,2017-11-10,11443.0
CHOP_2015_2016,XOM,True,legacy,1970-01-02,2017-11-10,12074.0
BULL_2017,ABBV,True,yfinance,2013-01-02,2023-02-28,2557.0
BULL_2017,ABT,True,yfinance,2005-01-03,2023-02-28,4570.0
BULL_2017,ADM,True,yfinance,2005-01-03,2023-02-28,4570.0
BULL_2017,ADP,True,yfinance,2005-01-03,2023-02-28,4570.0
BULL_2017,AFL,True,yfinance,2005-01-03,2023-02-28,4570.0
BULL_2017,APD,True,yfinance,2005-01-03,2023-02-28,4570.0
BULL_2017,BCR,True,legacy_fallback,1983-04-06,2017-11-10,8724.0
BULL_2017,BDX,True,yfinance,2005-01-03,2023-02-28,4570.0
BULL_2017,BEN,True,yfinance,2005-01-03,2023-02-28,4570.0
BULL_2017,BF-B,True,yfinance,2005-01-03,2023-02-28,4570.0
BULL_2017,CAH,True,yfinance,2005-01-03,2023-02-28,4570.0
BULL_2017,CINF,True,yfinance,2005-01-03,2023-02-28,4570.0
BULL_2017,CL,True,yfinance,2005-01-03,2023-02-28,4570.0
BULL_2017,CLX,True,yfinance,2005-01-03,2023-02-28,4570.0
BULL_2017,CTAS,True,yfinance,2005-01-03,2023-02-28,4570.0
BULL_2017,CVX,True,yfinance,2005-01-03,2023-02-28,4570.0
