ticker,data_ticker,signal_type,signal_date,entry_date,entry_open,regime,spy_close,spy_ma50,spy_ma200,swing_start,swing_low,swing_distance_pct,stop_hit_20d,days_to_stop,mfe_20d_pct,mae_20d_pct,mfe_before_stop_pct,mae_before_stop_pct,ret_5d_pct,ret_10d_pct,ret_15d_pct,ret_20d_pct,hit_2pct_before_stop,days_to_2pct,hit_3pct_before_stop,days_to_3pct,hit_5pct_before_stop,days_to_5pct
NUE,NUE,STOCH_ONLY_CONTROL,2020-01-15,2020-01-16,47.600277443946354,GREEN,299.1515808105469,287.5020404052734,269.92672317504883,2019-12-31,46.57394085186275,2.2036713520723117,True,2.0,0.3717487940943398,-13.011175721573498,0.3717487940943398,-3.2156237206141136,-6.449831147446606,-11.728636156591953,-10.929381597323207,-12.360614010133187,False,,False,,False,
NUE,NUE,V0.1,2020-01-15,2020-01-16,47.600277443946354,GREEN,299.1515808105469,287.5020404052734,269.92672317504883,2019-12-31,46.57394085186275,2.2036713520723117,True,2.0,0.3717487940943398,-13.011175721573498,0.3717487940943398,-3.2156237206141136,-6.449831147446606,-11.728636156591953,-10.929381597323207,-12.360614010133187,False,,False,,False,
VFC,VFC,STOCH_ONLY_CONTROL,2020-01-15,2020-01-16,78.53525109194824,GREEN,299.1515808105469,287.5020404052734,269.92672317504883,2020-01-10,77.32137582184257,1.5699090415858485,True,1.0,0.23858477582838766,-14.688803364453651,0.23858477582838766,-3.0601757466966806,-12.31326454518733,-13.931543957468973,-13.941909447935553,-13.21579081164237,False,,False,,False,
CAT,CAT,STOCH_ONLY_CONTROL,2020-01-16,2020-01-17,130.0609835556978,GREEN,301.6399230957031,287.95878051757813,270.1501737976074,2020-01-15,127.39160271435506,2.0954135001568064,True,2.0,0.7200580872563034,-12.166280274752772,0.7200580872563034,-3.185894189158034,-7.798361529561381,-11.847007618020989,-8.75620523546472,-7.220963979139306,False,,False,,False,
CB,CB,V0.1,2020-01-16,2020-01-17,137.85902626813993,GREEN,301.6399230957031,287.95878051757813,270.1501737976074,2020-01-14,134.96908785174216,2.141185409485935,False,,9.885393141056763,-2.332100216204558,9.885393141056763,-2.332100216204558,-1.487063345729689,0.3799544395666432,7.009516769033319,7.107782028091081,True,11.0,True,12.0,True,12.0
WMT,WMT,STOCH_ONLY_CONTROL,2020-01-16,2020-01-17,35.40819149868344,GREEN,301.6399230957031,287.95878051757813,270.1501737976074,2020-01-02,34.94135914301491,1.336045211515069,True,4.0,3.3606132281168266,-2.903947525707473,0.4135814482910227,-1.637250629839937,-0.163756503110013,-1.5338532937901217,-0.6893734361358983,3.084870297900344,False,,False,,False,
T,T,STOCH_ONLY_CONTROL,2020-01-17,2020-01-21,18.621266203025943,GREEN,302.5788269042969,288.4404656982422,270.3762971496582,2020-01-15,18.339635333805074,1.5356405080843905,True,6.0,2.0599510823956058,-5.29336819430376,2.0599510823956058,-3.441991443925607,0.5997147003034442,-1.8774574625591955,-0.46937267555300366,0.23470044650439892,True,1.0,False,,False,
SYY,SYY,STOCH_ONLY_CONTROL,2020-01-21,2020-01-22,70.1016610048862,GREEN,301.9863586425781,288.9090307617187,270.5960433959961,2020-01-15,68.95314693364347,1.665644169000724,True,5.0,0.597943056179151,-11.037998875847766,0.597943056179151,-2.3439438961994186,-2.068854611989346,-9.471390390346546,-7.366619825960463,-8.263558517405468,False,,False,,False,
SYY,SYY,V0.1,2020-01-21,2020-01-22,70.1016610048862,GREEN,301.9863586425781,288.9090307617187,270.5960433959961,2020-01-15,68.95314693364347,1.665644169000724,True,5.0,0.597943056179151,-11.037998875847766,0.597943056179151,-2.3439438961994186,-2.068854611989346,-9.471390390346546,-7.366619825960463,-8.263558517405468,False,,False,,False,
WMT,WMT,V0.1,2020-01-23,2020-01-24,35.392928694431795,GREEN,302.3692321777344,289.80157592773435,271.02415603637695,2020-01-17,34.94135319168349,1.2923812660346146,True,0.0,3.4051863353793177,-2.8620759401340568,0.025857727252764917,-1.5948327954117048,-1.3017064909272902,0.3879276786795449,1.6293100351917555,0.27585664180542757,False,,False,,False,
