ticker,signal_type,signal_date,entry_date,entry_open,regime,swing_start,swing_low,swing_distance_pct,stop_hit_20d,days_to_stop,mfe_20d_pct,mae_20d_pct,mfe_before_stop_pct,mae_before_stop_pct,ret_5d_pct,ret_10d_pct,ret_15d_pct,ret_20d_pct,hit_2pct_before_stop,days_to_2pct,hit_3pct_before_stop,days_to_3pct,hit_5pct_before_stop,days_to_5pct,future_group
WMT,V0.1,2007-08-02,2007-08-03,39.697,GREEN,2007-07-27,38.653,2.700954647763454,True,7.0,3.6778597878932784,-8.096329697458259,3.6778597878932784,-6.806559689649106,-1.3502279769252112,-6.872055822858158,-6.343048593092682,-6.574804141370882,True,3.0,True,3.0,False,,NOT_REMOVED_2007_2010
EMR,V0.1,2007-08-07,2007-08-08,39.741,GREEN,2007-07-30,37.892,4.879657975298213,True,1.0,2.2898266274125056,-11.46674718804258,1.6959814800835415,-6.346090938828919,-5.087944440250613,-3.711532170805976,-1.0669082307943945,-0.2491130067184932,False,,False,,False,,NOT_REMOVED_2007_2010
FHN,V0.1,2009-06-29,2009-06-30,10.842,GREEN,2009-06-24,10.38,4.450867052023111,True,2.0,6.862202545655771,-8.356391809629226,2.6102195166943343,-5.939863493820329,-6.530160486995018,2.776240546024722,-3.5878989116399307,3.836930455635468,True,0.0,False,,False,,REMOVED_2007_2010
GE,V0.1,2007-08-07,2007-08-08,31.802,GREEN,2007-08-03,30.602,3.9213123325272825,True,4.0,2.427520281743289,-8.354820451543931,2.427520281743289,-5.848688761713095,-6.581347085088984,-0.9087478774919776,-2.003018678070567,-0.2547009622036356,True,0.0,False,,False,,REMOVED_2007_2010
GE,V0.1,2007-11-28,2007-11-29,30.828,YELLOW,2007-11-21,29.403,4.846444240383629,True,3.0,0.989360321785382,-5.793434540028541,0.989360321785382,-5.793434540028541,-2.6956014013234664,-1.8586998832230472,-4.622421175554692,-2.4815103152977858,False,,False,,False,,REMOVED_2007_2010
GWW,V0.1,2007-08-13,2007-08-14,76.297,YELLOW,2007-07-24,73.324,4.054606949975459,True,1.0,7.10381797449442,-8.422349502601678,0.3132495379897015,-5.735481080514293,0.8873219130503207,0.5308203468026296,3.918895893678664,0.0930573941308354,False,,False,,False,,NOT_REMOVED_2007_2010
CTL,V0.1,2009-06-24,2009-06-25,20.026,GREEN,2009-06-22,19.522,2.581702694396082,True,5.0,2.541695795465904,-8.104464196544503,2.541695795465904,-5.717567162688509,-5.717567162688509,-7.150704084689896,-5.238190352541694,-2.756416658344152,True,0.0,False,,False,,NOT_REMOVED_2007_2010
SLM,V0.1,2007-08-07,2007-08-08,16.18,GREEN,2007-08-01,15.604,3.691361189438602,True,3.0,4.153275648949317,-8.992583436341162,4.153275648949317,-5.426452410383186,-5.302843016069225,1.378244746600732,0.6118665018541414,-1.4153275648949304,True,0.0,True,0.0,False,,REMOVED_2007_2010
CB,V0.1,2009-11-09,2009-11-10,44.853,GREEN,2009-10-27,43.069,4.142190438598514,True,7.0,0.4213764965554034,-9.14543062894344,0.4213764965554034,-5.297304528125224,-2.612980179698132,-5.6049762557688565,-5.413238802309772,-5.827926783046856,False,,False,,False,,NOT_REMOVED_2007_2010
CB,V0.1,2007-10-23,2007-10-24,51.502,GREEN,2007-10-19,49.564,3.910096037446542,True,6.0,5.046405964816891,-8.20356491010058,5.046405964816891,-5.269698264145095,0.0174750495126385,-6.223059298668021,-2.083414236340342,-4.376529066832369,True,4.0,True,5.0,True,5.0,NOT_REMOVED_2007_2010
