window,signal_type,signal_date,signals,stocks,stop_rate_pct,avg_ret_20d_pct
BULL_2013_2014,V0.2B_NO_MACD,2014-03-31,2,2,100.0,0.1572220722057649
BULL_2013_2014,V0.2B_NO_MACD,2014-04-01,5,5,100.0,-3.4400874240839
BULL_2013_2014,V0.2B_NO_MACD,2014-04-02,1,1,100.0,0.12934791777972077
BULL_2013_2014,V0.2B_NO_MACD,2014-04-16,5,5,0.0,2.729123088472194
BULL_2013_2014,V0.2B_NO_MACD,2014-04-17,1,1,0.0,6.216031982903147
BULL_2013_2014,V0.2B_NO_MACD,2014-04-21,1,1,100.0,4.436761740132522
BULL_2013_2014,V0.2B_NO_MACD,2014-04-28,1,1,0.0,-0.5087121970759001
BULL_2013_2014,V0.2B_NO_MACD,2014-04-29,1,1,0.0,-0.12165861241594245
BULL_2013_2014,V0.2B_NO_MACD,2014-04-30,1,1,0.0,0.4748420823349919
BULL_2013_2014,V0.2B_NO_MACD,2014-05-08,1,1,0.0,5.080317037663784
BULL_2013_2014,V0.2B_NO_MACD,2014-05-09,3,3,66.66666666666666,2.231460394303545
BULL_2013_2014,V0.2B_NO_MACD,2014-05-12,2,2,50.0,4.206294831759438
BULL_2013_2014,V0.2B_NO_MACD,2014-05-19,1,1,100.0,2.8184175017814006
BULL_2013_2014,V0.2B_NO_MACD,2014-05-21,2,2,50.0,3.045335070668209
BULL_2013_2014,V0.2B_NO_MACD,2014-05-27,2,2,50.0,-0.6801647732768035
BULL_2013_2014,V0.2B_NO_MACD,2014-05-29,2,2,0.0,3.767754301942572
BULL_2013_2014,V0.2B_NO_MACD,2014-05-30,2,2,100.0,-1.1833592074675492
BULL_2013_2014,V0.2B_NO_MACD,2014-06-05,1,1,0.0,2.032428526263508
BULL_2013_2014,V0.2B_NO_MACD,2014-06-13,1,1,100.0,0.36625743502594066
BULL_2013_2014,V0.2B_NO_MACD,2014-06-16,1,1,100.0,-1.6281645049173843
