window,ticker,loaded,source
GFC_2007_2009,LEG,True,legacy
GFC_2007_2009,GCI,True,legacy
GFC_2007_2009,LLY,True,legacy
GFC_2007_2009,KMB,True,legacy
GFC_2007_2009,SNV,True,legacy
GFC_2007_2009,GE,True,legacy
GFC_2007_2009,JNJ,True,legacy
GFC_2007_2009,BUD,True,legacy
GFC_2007_2009,PPG,True,legacy
GFC_2007_2009,CLX,True,legacy
GFC_2007_2009,MTB,True,legacy
GFC_2007_2009,KO,True,legacy
GFC_2007_2009,ROH,False,missing
GFC_2007_2009,ABT,True,legacy
GFC_2007_2009,AVY,True,legacy
GFC_2007_2009,VFC,True,legacy
GFC_2007_2009,CBSS,False,missing
GFC_2007_2009,CB,True,legacy
GFC_2007_2009,PEP,True,legacy
GFC_2007_2009,PG,True,legacy
GFC_2007_2009,SWK,True,legacy
GFC_2007_2009,EMR,True,legacy
GFC_2007_2009,MMM,True,legacy
GFC_2007_2009,MCD,True,legacy
GFC_2007_2009,SLM,True,legacy
GFC_2007_2009,WWY,False,missing
GFC_2007_2009,ADP,True,legacy
GFC_2007_2009,WMT,True,legacy
GFC_2007_2009,SHW,True,legacy
GFC_2007_2009,GWW,True,legacy
GFC_2007_2009,SVU,True,legacy
GFC_2007_2009,FDO,False,missing
GFC_2007_2009,DOV,True,legacy
GFC_2007_2009,MHP,True,yfinance_fallback
GFC_2007_2009,ADM,True,legacy
GFC_2007_2009,STT,True,legacy
GFC_2007_2009,BDX,True,legacy
GFC_2007_2009,JCI,True,legacy
GFC_2007_2009,LOW,True,legacy
GFC_2007_2009,SIAL,False,missing
GFC_2007_2009,STR,False,missing
GFC_2007_2009,TGT,True,legacy
GFC_2007_2009,WAG,False,missing
GFC_2007_2009,NUE,True,legacy
GFC_2007_2009,BCR,True,legacy
GFC_2007_2009,CTL,True,legacy
GFC_2007_2009,PGR,True,legacy
